"Path","HasDocblock","HasSpanish"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\AssignRole.php","False","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\BlogStatus.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\DebugLogs.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\DiagnoseServices.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\DiagnoseUser.php","False","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\FixPostSlugs.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\SecurityAuditCommand.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\SetupDatabase.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands\SwitchDatabase.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\AdminController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\AnalyticsController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\AuditLogController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\Auth\AdminAuthController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\CategoryController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\CommentController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\CommentManagementController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\DashboardController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\MediaController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\NotificationController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\PostController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\ProjectManagementController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\ServiceController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\ServiceManagementController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\SettingController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\TagController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\UserManagementController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Api\SearchController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Api\ServiceFavoriteController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\AuthenticatedSessionController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\ConfirmablePasswordController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\EmailVerificationNotificationController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\EmailVerificationPromptController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\NewPasswordController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\PasswordController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\PasswordResetController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\PasswordResetLinkController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\RegisteredUserController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth\VerifyEmailController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\CommentController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\CommentInteractionController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\ContactController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Controller.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\DebugController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\ErrorController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\HomeController.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\MLController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\PageController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\PostController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\ProfileController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\ProjectController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\ServiceController.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\UserDashboardController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\UserFollowController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\UserInteractionController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\UserProfileController.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminAuditMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminOnly.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminSecurityHeaders.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AdminSessionTimeout.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AuthRateLimitMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\AuthStateMiddleware.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\CheckIpBan.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\CheckPermission.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\EnhancedAuthMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\HandleInertiaRequests.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\RedirectIfAuthenticated.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\RoleMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\SecurityHeadersMiddleware.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware\SessionTimeout.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\Auth\LoginRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\ProfileUpdateRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\SearchRequest.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminAuditLog.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminDashboardWidget.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminNotification.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\AdminSetting.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Category.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Comment.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\CommentInteraction.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\CommentReport.php","False","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\IpBan.php","False","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLInteractionLog.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLPostVector.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\MLUserProfile.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Permission.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Post.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Project.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Role.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\SearchAnalytics.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Service.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\ServiceFavorite.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Setting.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\Tag.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\User.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserBan.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserFollow.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models\UserInteraction.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Notifications\ResetPasswordNotification.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\CommentPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\PostPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies\UserPolicy.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Providers\AppServiceProvider.php","True","False"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\ContentAnalysisService.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\MLRecommendationService.php","True","True"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services\SearchService.php","True","False"
